Gene symbol,Description,Astrocytes,Neuron,Oligodendrocyte Precursor Cell,Newly Formed Oligodendrocyte,Myelinating Oligodendrocytes,Microglia,Endothelial Cells
Mir3074-1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3074-2,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3075,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3077,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3078,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3081,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3083,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3085,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3086,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3087,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3088,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3089,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3091,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3092,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3093,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3094,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3095,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3096,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3096b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3097,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3099,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir30a,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir30b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir30c-1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir30c-2,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir30d,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir30e,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir31,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3100,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3101,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3102,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3103,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3106,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3107,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3108,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3109,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3110,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3112,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir32,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir320,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir322,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir323,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir324,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir326,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir328,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir329,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir33,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir330,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir331,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir335,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir337,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir338,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir339,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir340,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir341,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir343,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir344,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir344-2,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir344b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir344c,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir344d-1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir344d-2,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir344d-3,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir344e,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir344f,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir344g,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir345,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir346,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3471-1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3473,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3473c,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3473d,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3474,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3475,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir34a,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir34b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir34c,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir350,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir351,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3572,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir362,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir363,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir365-1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir365-2,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir367,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir369,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir370,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir374,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir374c,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir375,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir376a,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir376b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir376c,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir377,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir378b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir379,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir380,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir381,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir382,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir383,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir384,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3960,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3966,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3967,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3968,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3969,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir3971,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir409,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir410,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir411,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir412,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir421,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir423,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir425,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir429,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir431,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir432,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir434,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir448,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir449a,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir449b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir449c,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir450-1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir450-2,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir450b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir451,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir452,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir453,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir455,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir463,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir465,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir465b-1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir465b-2,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir465c-1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir466,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir4660,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir466g,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir466i,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir467a-10,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir467a-2,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir467a-3,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir467a-4,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir467a-5,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir467a-6,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir467a-7,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir467a-8,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir467a-9,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir467b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir467d,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir467f,,0.5,0.1,0.1,0.1,0.1,0.1,0.1
Mir468,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir470,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir471,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir483,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir484,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir485,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir486,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir487b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir488,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir489,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir490,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir491,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir493,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir494,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir495,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir496,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir497,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir499,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir500,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir501,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir503,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir504,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5046,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir505,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir509,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5098,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5100,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5103,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5104,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5106,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5107,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5108,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5109,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir511,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5112,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5114,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5116,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5117,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5119,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5121,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5122,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5123,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5126,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5127,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5128,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5129,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5132,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5133,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5134,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5135,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir5136,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir532,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir539,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir540,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir541,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir542,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir543,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir546,,1.7,2.4,1.8,0.3,1.1,1.9,2.1
Mir547,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir551b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir568,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir574,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir582,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir592,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir598,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir599,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir615,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir653,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir654,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir664,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir665,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir666,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir667,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir668,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir669a-1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir669a-2,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir669a-3,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir669b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir669c,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir669e,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir669g,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir669h,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir669i,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir669j,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir669k,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir669m-2,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir669p-1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir670,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir671,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir672,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir673,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir674,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir676,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir677,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir678,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir679,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir680-1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir680-2,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir680-3,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir681,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir682,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir683-1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir684-1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir684-2,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir686,,0.1,0.8,0.1,7.1,1.4,0.7,7.5
Mir687,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir688,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir690,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir691,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir692-1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir693,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir694,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir695,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir697,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir698,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir7-1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir7-2,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir700,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir701,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir702,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir703,,3.7,16.7,19.5,19.0,13.3,29.4,97.7
Mir704,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir705,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir706,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir707,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir708,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir709,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir710,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir711,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir713,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir717,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir718,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir719,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir720,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir721,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir741,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir742,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir743,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir743b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir744,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir758,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir759,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir760,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir761,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir762,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir763,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir764,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir767,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir770,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir7b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir802,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir804,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir871,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir872,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir873,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir874,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir875,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir876,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir877,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir878,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir879,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir880,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir881,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir882,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir883a,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir883b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir9-1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir9-2,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir9-3,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir92-2,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir92b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir93,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir96,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir98,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir99a,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mir99b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mirg,,0.1,6.2,0.2,0.1,0.1,0.3,0.1
Mirlet7a-1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mirlet7a-2,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mirlet7b,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mirlet7c-1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mirlet7c-2,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mirlet7d,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mirlet7e,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mirlet7f-1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mirlet7f-2,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mirlet7g,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mirlet7i,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mis12,"MIS12, MIND kinetochore complex component, homolog (yeast)",3.1,2.2,3.4,3.1,2.4,0.9,2.9
Mis18bp1,,2.2,0.4,3.0,0.3,0.1,0.1,0.9
Mitd1,"MIT, microtubule interacting and transport, domain containing 1",6.5,1.7,3.8,1.9,0.8,0.9,7.3
Mitf,Microphthalmia-associated transcription factor,0.9,0.7,1.3,2.8,1.4,1.8,0.3
Mixl1,Mix1 homeobox-like 1 (Xenopus laevis),0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mki67,Antigen identified by monoclonal antibody Ki-67,4.6,0.8,4.8,0.3,0.1,0.3,2.3
Mki67ip,MKI67 (FHA domain) interacting nucleolar phosphoprotein,8.2,8.9,11.3,10.5,4.5,11.4,11.1
Mkks,McKusick-Kaufman syndrome,3.9,2.9,6.9,5.3,4.2,1.7,6.9
Mkl1,Megakaryoblastic leukemia (translocation) 1,3.7,8.4,3.9,1.8,1.1,13.1,3.3
Mkl2,MKL/myocardin-like 2,3.0,2.8,2.7,1.1,0.8,1.0,11.1
Mkln1,"Muskelin 1, intracellular mediator containing kelch motifs",13.9,12.4,12.5,5.7,2.1,7.1,11.7
Mknk1,MAP kinase interacting serine/threonine kinase 1,9.7,7.1,13.9,9.4,3.9,66.2,15.1
Mknk2,MAP kinase interacting serine/threonine kinase 2,17.0,20.3,13.7,8.8,4.6,168.9,36.3
Mkrn1,"Makorin, ring finger protein, 1",7.8,35.6,28.5,23.5,24.1,21.6,10.6
Mkrn2,"Makorin, ring finger protein, 2",5.9,12.6,8.2,8.2,9.6,3.8,7.5
Mkrn3,"Makorin, ring finger protein, 3",1.3,10.3,2.6,1.8,1.1,0.2,0.3
Mks1,"Meckel syndrome, type 1",5.6,1.2,3.1,3.1,1.5,1.6,1.1
Mkx,Mohawk homeobox,0.1,0.6,1.9,0.7,0.2,0.1,0.1
Mlana,Melan-A,0.1,0.1,0.1,0.1,0.1,0.2,0.1
Mlc1,Megalencephalic leukoencephalopathy with subcortical cysts 1,382.6,19.2,35.9,1.4,13.7,12.8,1.9
Mlec,,17.3,13.4,26.3,27.9,25.5,61.5,9.3
Mlf1,Myeloid leukemia factor 1,5.8,14.9,3.9,1.5,0.7,0.2,3.4
Mlf1ip,MLF1 interacting protein,0.7,0.6,0.7,0.3,0.1,0.1,0.4
Mlf2,Myeloid leukemia factor 2,98.3,136.8,188.7,228.1,203.1,135.9,96.8
Mlh1,"MutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)",7.5,2.9,3.2,4.0,2.4,1.6,3.0
Mlh3,MutL homolog 3 (E. coli),2.1,1.5,2.3,2.2,1.3,0.3,2.1
Mlkl,Mixed lineage kinase domain-like,0.1,0.1,0.2,0.3,0.2,0.2,3.3
Mll1,,11.0,13.2,5.5,2.6,0.5,1.2,2.1
Mll2,Myeloid/lymphoid or mixed-lineage leukemia 2,7.7,6.3,3.8,3.5,0.7,3.3,1.7
Mll3,Myeloid/lymphoid or mixed-lineage leukemia 3,20.9,4.8,6.0,4.1,0.8,1.2,3.4
Mll5,"Myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila)",16.6,17.5,8.6,7.2,1.5,2.5,9.4
Mllt1,"Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1",8.9,14.1,16.1,11.6,7.9,20.6,10.4
Mllt10,"Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10",14.6,6.7,6.4,4.7,1.5,3.1,13.0
Mllt11,"Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11",5.0,143.5,11.0,18.7,18.0,5.8,6.6
Mllt3,"Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3",4.6,5.3,5.2,2.5,1.0,0.3,8.6
Mllt4,"Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4",8.3,11.7,5.1,2.8,2.3,0.3,28.3
Mllt6,"Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6",7.9,13.3,8.8,8.1,7.3,26.0,3.6
Mlph,Melanophilin,0.1,0.1,0.3,0.2,0.1,5.2,1.2
