,MouseGene Symbol,Mouse.7Description,X.8Myeloid Activation (Fine),X.9Myeloid Activation (Coarse),X.10Immune-Specific,adjP-PS2APP,lfc-PS2APP,adjP-7-13months-1,lfc-7-13months-1,adjP-7-13months-2,lfc-7-13months-2,adjP-WT-5xFAD,lfc-WT-5xFAD,adjP-Trem2KO-5xFAD,lfc-Trem2KO-5xFAD,adjP-Trem2KOvWT,lfc-Trem2KOvWT,adjP-Trem2KOvWT-5xFAD,lfc-Trem2KOvWT-5xFAD,adjP-APPswe/PS1dE9,lfc-APPswe/PS1dE9,adjP-hMAPT-P301L,lfc-hMAPT-P301L,adjP-X6.2hMAPT-P301S,lfc-X6.2hMAPT-P301S,adjP-hSOD1-G93A-d65,lfc-hSOD1-G93A-d65,adjP-hSOD1-G93A-d100,lfc-hSOD1-G93A-d100,adjP-2MFP2ko,lfc-2MFP2ko,adjP-transischemia,lfc-transischemia,adjP-4wkcuprizoneWT,lfc-4wkcuprizoneWT,adjP-12wkcuprizoneWT,lfc-12wkcuprizoneWT,adjP-4wkcuprizoneTrem2KO,lfc-4wkcuprizoneTrem2KO,adjP-12wkcuprizoneTrem2KO,lfc-12wkcuprizoneTrem2KO,adjP-LPS,lfc-LPS,adjP-LPSmogene,lfc-LPSmogene,adjP-LCMV,lfc-LCMV,adjP-GBM,lfc-GBM,adjP-GBM-CSF1Rblock,lfc-GBM-CSF1Rblock,adjP-repop-MG,lfc-repop-MG,adjP-infiltrating-MG,lfc-infiltrating-MG,adjP-22Mvs4-12M-Cb,lfc-22Mvs4-12M-Cb,adjP-22Mvs4-12M-Ctx,lfc-22Mvs4-12M-Ctx,adjP-22Mvs4-12M-Hp,lfc-22Mvs4-12M-Hp,adjP-22Mvs4-12M-Str,lfc-22Mvs4-12M-Str,adjP-PS2APP-13months,lfc-PS2APP-13months,adjP- SOD1G93A-D28,lfc- SOD1G93A-D28,adjP- SOD1G93A-D42,lfc- SOD1G93A-D42,adjP- SOD1G93A-D56,lfc- SOD1G93A-D56,adjP- SOD1G93A-D70,lfc- SOD1G93A-D70,adjP- SOD1G93A-D98,lfc- SOD1G93A-D98,adjP- SOD1G93A-D112,lfc- SOD1G93A-D112,adjP- SOD1G93A-D126,lfc- SOD1G93A-D126,adjP-AD-fusiform,lfc-AD-fusiform,adjP-AD-temp,lfc-AD-temp,adjP-ALS,lfc-ALS,adjP-ALS-MN,lfc-ALS-MN,adjP-FTDprogranulin,lfc-FTDprogranulin,adjP-HD,lfc-HD
324,Pole2,"polymerase (DNA directed), epsilon 2 (p59 subunit)",26,Proliferation,,0.02662,1.136,0.9992,0.4369,0.9755,-0.05795,0.8924,0.4702,0.9016,0.415,0.9991,-0.1558,0.9458,-0.2111,0.2217,0.1123,0.9978,-0.006138,0.699,0.863,0.7546,-0.3408,0.008906,-1.548,0.9578,-0.1589,0.004537,3.142,0.7477,1.355,0.9957,-0.04247,0.9992,-0.7474,0.9852,-0.06367,0.5848,0.6006,0.7111,-0.8502,0.7657,-0.604,0.001825,2.52,0.011,-0.6636,0.6628,-0.337,0.00007715,1.646,0.8549,0.07168,0.8288,0.09453,0.735,-0.1403,0.1661,0.3708,0.9858,-0.01356,0.4669,0.1775,0.4985,-0.1552,0.7549,0.1294,0.8066,0.1358,0.948,0.01953,0.4792,0.1029,0.8401,-0.02841,0.2162,-0.1291,0.5169,-0.05611,0.9944,0.06714,0.8679,0.2872,0.4859,0.1023,0.6157,-0.0283
325,Lgals3bp,"lectin, galactoside-binding, soluble, 3 binding protein",25,Neurodegeneration-Related,,0.00003121,1.215,0.00004661,1.487,0.00875,1.076,0.1147,1.57,0.5358,1.037,0.9991,-0.4255,0.5257,-0.9585,0.000001013,1.114,0.9076,0.1657,8.07E-07,3.262,0.3179,0.5028,0.000003054,1.735,0.03428,1.771,0.8009,-0.3632,0.9807,0.5307,0.7732,0.5143,0.9379,-0.7523,0.527,-1.038,1.43E-27,3.09,0.4382,2.171,0.8013,0.7748,0.002556,2.391,0.06428,0.698,0.08335,1.425,0.7294,0.05043,0.000401,1.061,0.0000309,0.852,0.00003858,0.9274,0.001713,1.038,0.00003282,1.492,0.4815,0.2067,0.9352,0.02447,0.2512,0.4774,0.9694,-0.03333,0.04792,0.9374,0.00001434,1.876,0.0002063,2.307,0.07937,0.2483,0.000002897,0.3823,0.9672,-0.2289,0.5296,0.8691,0.01448,1.291,0.00004005,0.3775
326,Prkab1,"protein kinase, AMP-activated, beta 1 non-catalytic subunit",3,,,0.05281,-0.5975,0.9992,-0.1801,0.188,-0.6568,0.0542,-1.416,0.942,-0.147,0.9991,-0.3829,0.2608,0.8865,0.009793,-0.5408,0.8613,-0.2263,0.2061,-0.8946,0.4611,-0.3866,0.2954,-0.5262,0.06513,-1.115,0.3095,0.6512,0.9824,-0.2915,0.4719,-1.382,0.9992,0.089,0.5673,-1.131,0.006465,-0.8544,0.9726,0.06556,0.9225,-0.1497,0.007304,-1.372,0.7319,-0.106,0.2112,-1.006,5.72E-08,-1.425,0.1595,-0.5874,0.3801,-0.3799,0.4547,-0.2413,0.6379,-0.2885,0.9874,0.003434,0.76,-0.1053,0.825,0.08929,0.7149,0.1587,0.9632,0.03295,0.8668,0.06238,0.1521,-0.1838,0.8382,0.03947,0.4046,-0.05318,0.4026,0.05586,0.8392,0.4972,0.5182,0.9091,0.8588,-0.05041,0.003188,0.1546
327,St14,suppression of tumorigenicity 14 (colon carcinoma),36,Neurodegeneration-Related,,0.2239,0.7293,0.02362,1.014,0.01816,1.031,0.06095,1.96,0.7939,0.4815,0.977,-0.7149,0.01662,-2.194,4.20E-07,1.562,0.9598,-0.09851,0.242,1.866,0.5485,0.5458,0.00518,1.372,0.07775,1.202,0.9831,0.03598,0.9941,0.2261,0.5444,-0.8139,0.9992,-0.1903,0.9769,0.1725,0.9982,0.003104,0.9553,-0.2454,0.9814,0.08064,0.1043,1.047,0.0006786,1.304,0.09948,1.408,0.6755,0.1015,0.005659,1.531,0.04549,0.6469,0.01623,1.017,0.01259,0.9424,3.03E-07,2.559,0.4575,0.2093,0.4736,0.2431,0.6765,0.2072,0.9912,-0.01209,0.2089,0.2151,0.0138,0.5438,0.01086,0.8816,0.1905,0.2952,0.08081,0.1367,0.8716,0.387,0.8664,-0.1995,0.4402,0.2229,0.4391,-0.05344
328,Psen2,presenilin 2,25,Neurodegeneration-Related,,0.5798,0.4663,0.9992,0.1411,0.6471,0.3957,0.7258,1.072,0.6085,1.321,0.9991,0.01171,0.9629,0.2608,0.0006475,0.3198,0.9157,-0.1914,0.415,1.781,0.8634,-0.1973,0.04477,1.052,0.07298,1.242,0.7245,0.4367,0.9818,0.4964,0.6034,0.7862,0.9524,0.5928,0.9358,-0.3252,6.88E-10,2.247,0.08597,2.794,0.6758,-0.972,0.02274,2.001,0.3655,0.2875,0.913,0.04797,0.00001395,1.009,0.01061,0.5996,0.3045,0.1802,0.08129,0.3426,0.09982,0.447,6.93E-10,1.874,0.9904,0.006237,0.494,0.1589,0.8107,-0.1119,0.5351,-0.3528,0.8912,0.03387,0.5244,0.09264,0.07871,0.2873,0.000727,-0.2847,0.00001062,-0.2578,0.9356,0.2996,0.4348,-1.073,0.3844,-0.2095,0.07598,-0.0867
329,Flna,"filamin, alpha",43,"Neutrophil, Monocyte",,0.783,-0.1828,0.9992,-0.2206,0.8718,-0.1023,0.802,0.815,0.9781,-0.2233,0.9991,0.4416,0.8552,-0.5967,0.1374,-0.2697,0.9763,-0.06034,0.9115,-0.1623,0.7921,-0.1411,0.7773,0.09331,0.4368,-1.217,0.0189,2.926,0.8339,2.18,0.3853,2.13,0.9992,-0.09471,0.5589,-2.317,1.55E-20,2.267,0.6016,1.417,0.9902,-0.04915,0.008023,1.62,0.1649,-0.4895,0.5639,0.1945,9.15E-09,1.804,0.121,0.3094,0.1711,0.2799,0.5408,0.1716,0.5193,0.1505,0.5853,0.1297,0.2529,0.2624,0.8017,-0.06565,0.8599,0.06744,0.9995,0.0001406,0.05264,0.3452,0.0006433,0.7273,0.001243,0.8857,0.003092,0.4382,0.00001505,0.3546,,,,,0.07019,0.6907,0.000002029,0.3164
330,Stab1,stabilin 1,1,,,0.4759,-0.3525,0.2249,-0.6266,0.01405,-0.6065,0.7014,-0.8073,0.8158,-0.991,0.9991,-0.1036,0.9541,-0.2873,0.00000131,-1.178,0.5507,-0.5438,0.3567,-0.5348,0.0325,-0.8284,0.2046,-0.5689,0.03244,-3.277,0.7245,-0.7609,0.9174,0.5783,0.3853,-2.409,0.9253,0.9046,0.5682,-0.8935,0.5587,-0.3043,0.446,1.925,0.9434,0.1891,0.004499,-2.156,0.0006418,-1.399,0.0893,1.049,5.28E-10,2.324,0.2812,-0.3484,0.2964,-0.1976,0.06915,-0.5112,0.1987,-0.4986,0.1945,0.2494,0.2772,0.2698,0.9977,0.001405,0.828,-0.08014,0.7831,0.1605,0.2996,0.2489,0.5479,0.1059,0.01965,0.4053,0.01518,0.4807,0.0000324,0.4488,0.8703,0.6061,0.5133,0.8754,0.0593,1.035,0.01029,0.2431
331,Ptger4,prostaglandin E receptor 4 (subtype EP4),25,Neurodegeneration-Related,,0.002518,1.499,0.9992,0.4932,0.7974,0.2785,0.0004296,2.66,0.4988,0.9901,0.9991,0.4079,0.054,-1.262,0.00005914,1.358,0.7601,0.4439,0.002482,5.635,0.07519,1.215,0.0001124,1.647,0.03244,2.71,0.008901,5.027,0.7442,1.86,0.3853,3.47,0.805,1.031,0.4283,2.597,0.00168,2.447,0.07297,3.96,0.971,-0.1103,0.01688,1.214,0.001801,1.27,0.4193,1.038,2.32E-07,2.47,0.1742,1.187,0.007144,1.297,0.1007,1.206,0.06121,1.145,0.1616,0.4704,0.6059,-0.1601,0.6452,0.1341,0.7549,-0.1274,0.9275,-0.0675,0.8674,0.05593,0.1065,0.2347,0.02944,0.5524,0.07147,0.3022,0.2951,0.08407,0.8155,0.4623,0.7352,0.4407,0.1194,0.7681,0.3295,0.05627
332,Ptgs1,prostaglandin-endoperoxide synthase 1,2,,,0.1643,-0.3159,0.9992,-0.02693,0.003921,-0.7396,0.9034,0.4733,0.9652,0.1896,0.9991,-0.0684,0.8512,-0.3521,0.000007036,-0.9672,0.5296,-0.4517,0.06573,-0.7217,0.1133,0.4519,0.9545,0.0186,0.9909,-0.02208,0.2026,-0.9803,0.9318,-1.134,0.6317,-1.062,0.9985,0.3196,0.8929,0.2669,0.01902,-1.05,0.1834,-1.939,0.9145,-0.232,0.003235,-1.781,0.05481,-0.7932,0.3357,-0.4346,4.76E-09,-1.866,0.2375,-0.3605,0.6218,-0.1168,0.4612,-0.1795,0.4521,-0.166,0.01607,0.3226,0.993,0.003177,0.8727,-0.0487,0.8297,-0.08231,0.985,-0.01779,0.2267,0.3649,0.002078,0.6171,0.01269,0.7024,0.002986,0.4554,0.5122,0.06497,0.7093,0.978,0.07901,1.473,0.01708,0.636,0.5518,0.0368
333,Ptgs2,prostaglandin-endoperoxide synthase 2,34,,,0.3668,-0.9731,1,0,1,0,0.05511,3.462,0.3838,0.9899,0.9991,0.7072,0.001349,-1.765,0.000002029,3.3,1,0,1,0,0.8604,0.237,0.9317,0.07081,0.587,0.9941,0.1474,3.211,0.7441,2.513,0.3853,4.359,0.9992,0.2068,0.4283,2.641,0.03319,2.509,0.01588,6.517,0.7681,-0.8439,0.003762,1.914,0.8039,-0.1958,0.3337,2.316,0.4035,0.6154,0.6247,0.609,0.579,0.7815,0.5216,0.7327,0.5796,0.8662,0.8055,0.08798,0.3893,-0.2811,0.5931,0.1322,0.4869,0.2989,0.8442,-0.1645,0.577,-0.142,0.8561,0.0326,0.1239,-0.2158,0.3172,-0.1537,0.00003278,-0.3334,0.9334,0.3905,0.6333,0.674,0.06969,-1.496,0.1389,0.08559
334,Ell2,elongation factor RNA polymerase II 2,25,Neurodegeneration-Related,,0.003446,0.9079,0.9992,0.07805,0.3037,0.5816,0.9072,0.6275,0.9075,0.525,0.9596,-1.264,0.6704,-1.366,0.000004252,1.166,0.3742,0.6624,0.004697,1.771,0.05119,1.025,3.48E-08,1.894,0.08233,1.401,0.04606,2.538,0.9465,1.016,0.3853,3.617,0.7239,1.833,0.4283,3.545,1.96E-11,2.286,0.02792,2.873,0.721,0.4584,0.0009526,3.086,0.5098,0.2998,0.1035,1.258,7.39E-07,1.788,0.002173,0.9891,0.3525,0.2562,0.01391,0.7298,0.02156,0.4626,0.3146,0.2389,0.4535,-0.291,0.4977,-0.2044,0.6417,-0.3859,0.7026,-0.4263,0.7343,0.09092,0.04638,0.4565,0.07628,0.4726,0.195,0.1184,0.294,-0.09886,0.9878,0.08203,0.9938,-0.008857,0.5356,-0.3471,0.0004984,0.6397
335,Rassf3,Ras association (RalGDS/AF-6) domain family member 3,25,Neurodegeneration-Related,,0.0005976,1.117,0.9705,0.4465,0.006396,1.131,0.1322,1.611,0.905,0.2878,0.9991,-0.01307,0.07766,-1.336,0.00001575,1.089,0.6846,0.4218,0.08799,1.891,0.5636,0.3215,0.000004548,1.326,0.253,0.9528,0.9131,0.284,0.9644,0.7218,0.3937,1.529,0.9889,-0.4238,0.8684,0.2987,0.7183,0.3459,0.3894,-1.744,0.3817,-1.263,0.0104,1.957,0.006163,0.7206,0.08695,1.396,5.00E-07,1.424,0.02836,0.5571,0.03871,0.5789,0.006294,0.5539,0.01316,0.7024,0.3906,0.2534,0.5741,0.2224,0.6673,-0.1778,0.9172,-0.05322,0.9021,0.1345,0.8564,0.06939,0.001685,0.6137,0.0987,0.522,0.001158,0.4152,0.9156,0.009766,0.9929,0.06455,0.6617,0.5782,,,0.00126,0.334
336,Rad51,RAD51 homolog,26,Proliferation,LCMV-Specific,1,0,1,0,1,0,0.9528,-0.3153,0.9919,0.06884,0.9991,-0.3609,0.9967,0.02324,0.9989,0.0001881,1,0,1,0,1,0,0.3997,0.8289,0.9794,-0.08961,0.02559,2.401,0.811,-1.867,0.3952,-1.498,0.9437,2.002,0.4283,2.82,1,0,0.9927,-0.03185,0.02417,3.889,0.002705,2.999,0.0005809,-1.534,0.2799,-1.331,0.000003059,2.697,0.007186,0.6996,0.1445,0.3932,0.1043,0.3942,0.05701,0.5834,0.1132,0.6759,0.5199,0.1426,0.9514,0.02917,0.9005,-0.06549,0.8887,0.07898,0.7136,-0.07387,0.9158,0.02161,0.6434,0.089,0.9602,0.009372,0.8855,0.01683,0.9794,0.1831,0.5266,-0.6966,0.881,-0.02775,0.9315,0.00385
337,Reps2,RALBP1 associated Eps domain containing protein 2,11,,,0.7682,0.3776,0.9992,-0.09783,0.2993,0.9151,0.008255,3.222,0.5373,1.831,0.9991,0.169,0.6779,-1.222,0.006182,0.3906,0.7702,0.4217,0.3056,2.283,0.2263,1.354,0.00004017,1.91,0.9526,0.1517,0.268,-1.526,0.7441,3.795,0.3952,4.342,0.9992,-0.8621,0.8389,-0.8256,0.3878,-0.5714,0.7693,0.6615,0.4262,2.07,0.01188,2.609,,,0.356,1.732,0.000000157,4.324,0.5794,0.2655,0.9449,0.03273,0.412,-0.457,0.3752,-0.6366,0.8136,0.06026,0.2835,-0.3892,0.2662,-0.3924,0.7183,-0.196,0.9586,-0.05605,0.5203,-0.1647,0.0617,-0.3157,0.111,-0.3892,0.0005366,-0.4436,0.6104,-0.04135,0.9713,-0.2529,0.5811,-0.5914,0.2197,-0.2475,1.50E-07,-0.7782
338,Zfp691,zinc finger protein 691,2,,,0.2402,-0.5085,0.8986,-0.3215,0.7947,-0.1778,0.5927,-0.4928,0.8874,-0.2124,0.9991,-0.3959,0.922,-0.1154,0.0006084,-0.3946,0.325,-0.7491,0.3842,-0.5753,0.2142,-0.7782,0.001043,-0.9449,0.2194,-0.6752,0.1388,-0.9407,0.9452,-0.4577,0.864,-0.2532,0.9992,-0.03056,0.6289,-0.6576,3.82E-11,-2.281,0.1715,-1.209,0.6784,-0.3428,0.002206,-1.632,,,0.2619,-0.9746,0.000001445,-1.581,0.4588,-0.2338,0.1318,-0.3021,0.6253,-0.09461,0.6361,-0.1538,0.8747,0.04331,0.7313,0.09125,0.7516,0.07576,0.9316,-0.04144,0.9722,0.02681,0.9563,-0.0162,0.2232,-0.1577,0.08394,-0.2643,0.2453,0.1011,0.02085,0.1178,0.9612,-0.2371,0.9731,0.05925,,,0.02525,0.08617
339,Rgs2,regulator of G-protein signaling 2,9,,,0.3375,-0.6983,0.9992,-0.1679,0.9146,-0.05603,0.1387,-1.526,0.9761,0.06185,0.8861,-0.5959,0.3741,0.992,0.0006612,-0.4211,0.6718,0.4259,0.1254,-0.6324,0.5165,0.308,0.1221,0.4471,0.1805,-1.138,0.3934,-1.113,0.892,-0.6939,0.6852,-0.5715,0.9702,0.4651,0.5816,0.7511,1.67E-17,-2.463,0.04643,-3.27,0.249,0.8866,0.004795,-1.439,0.4106,0.2523,0.2473,-0.3968,9.44E-07,-1.055,0.549,-0.2747,0.2465,-0.2277,0.8503,-0.06687,0.2892,-0.3629,0.1219,-0.3303,0.4005,-0.2322,0.7984,-0.07424,0.6552,-0.3197,0.8979,-0.1095,0.3846,0.2136,0.03561,0.3363,0.1042,0.3264,0.9989,0.0002499,0.000039,-0.5244,0.8903,0.5418,0.9971,-0.004752,0.3414,-0.7742,0.00002256,-0.5992
340,Rps5,ribosomal protein S5,11,,,0.4924,0.3743,0.9992,0.2819,0.05686,1.107,0.04593,0.9432,0.2224,0.7572,0.9991,-0.2704,0.3828,-0.4563,0.5998,0.06896,0.9452,-0.1245,0.121,1.78,0.008283,1.031,0.0006445,1.243,0.03244,1.652,0.1522,1.318,0.9313,0.5187,0.3853,-2.306,0.9992,0.1759,0.4283,-2.647,0.01976,1.023,0.5663,1.083,0.9057,-0.365,0.01132,0.883,0.8281,-0.03617,0.1673,1.033,0.000003618,0.9807,0.4282,0.1308,0.4973,0.09788,0.1634,0.1985,0.3806,0.1488,0.4342,-0.1635,0.1517,0.4453,0.9695,-0.01232,0.8843,0.0616,0.5986,0.4067,0.6007,0.1016,0.03572,0.3135,0.009548,0.5364,0.02122,0.2361,0.01552,0.1254,,,,,0.5271,0.1181,0.5698,-0.04186
341,Rrm2,ribonucleotide reductase M2,26,Proliferation,,0.8276,0.3965,1,0,1,0,0.9931,-0.04611,0.672,1.041,0.9991,-0.8865,0.954,0.2005,0.8468,0.1243,1,0,1,0,1,0,0.02317,1.827,0.9362,0.2959,0.06153,2.078,0.9819,-0.5769,0.8755,0.4288,0.8871,-1.263,0.9147,-0.2705,1,0,0.6188,0.6313,0.0001995,4.982,0.001739,3.48,0.0002449,-3.286,0.5633,-0.3594,2.64E-08,3.199,0.005856,0.8239,0.001066,1.428,0.4242,0.444,0.08438,0.8313,0.8844,0.09043,0.2783,0.2991,0.9323,0.029,0.8436,0.09152,0.9421,0.05629,0.3126,0.4532,0.002824,2.116,0.007366,1.815,1,0,0.007601,-0.2141,0.9986,-0.02933,0.9462,-0.1242,0.4957,0.1295,0.8777,0.01002
342,Rxrg,retinoid X receptor gamma,25,Neurodegeneration-Related,,0.02877,1.119,0.9992,0.3456,0.009013,1.471,0.01823,3.295,0.3862,1.453,0.9991,-0.2311,0.1196,-2.073,0.00002308,1.327,1,0,0.08656,3.48,1,0,1,0,0.03727,2.23,0.3339,-0.7165,0.9184,0.9008,0.3966,2.058,0.7239,-1.814,0.6647,-0.7383,1,0,0.817,0.4893,0.6823,0.965,0.5913,0.7299,0.009237,0.7977,0.3042,1.661,1,0,0.000005986,2.659,0.0001259,1.884,4.70E-07,2.387,0.0000924,1.919,0.3829,-0.6514,0.1284,0.4282,0.9983,-0.001053,0.6119,0.2077,0.5281,0.3557,0.9767,-0.008191,0.7666,0.04498,0.3372,0.1267,0.1228,0.2137,0.3258,0.08679,0.9252,-0.4702,0.3245,-0.8732,0.9753,0.01151,0.000000103,-0.4575
343,S100a1,S100 calcium binding protein A1,11,,,0.7068,0.4966,0.9992,0.08673,0.582,0.5163,0.1178,1.351,0.6616,0.8784,0.9991,-0.06982,0.6664,-0.5422,0.00007029,0.5524,1,0,1,0,1,0,0.1414,1.235,0.0968,0.8366,0.1198,1.086,0.9804,0.3196,0.4935,0.9179,0.9992,0.05155,0.9889,-0.05097,0.4013,0.965,0.6861,-0.6057,0.08093,1.501,0.04987,0.6221,0.6094,0.2267,0.3213,0.9301,9.35E-07,1.905,0.9743,-0.02911,0.6608,0.2711,0.8133,-0.1232,0.947,0.05659,0.8065,-0.05836,0.4553,0.1811,0.9873,0.005251,0.6275,-0.2028,0.9885,-0.01398,0.07802,0.3919,0.0002007,0.8796,0.0006027,1.026,0.4371,-0.1123,0.1488,-0.1441,,,,,0.5967,0.1631,0.003893,0.2268
344,S100a6,S100 calcium binding protein A6 (calcyclin),43,"Neutrophil, Monocyte",,0.9197,-0.2077,0.9992,-0.1482,0.9696,-0.06193,0.8559,0.399,0.7399,0.7682,0.9991,-0.1283,0.945,0.2408,0.827,-0.2158,1,0,1,0,1,0,1,0,0.6367,0.6684,0.9315,0.4688,0.9993,-0.08314,0.3853,-4.504,0.9801,-0.6884,0.4283,-2.963,0.0009592,2.484,0.02041,3.735,0.000003243,5.6,0.001566,2.612,0.4991,-0.5476,0.02123,-3.666,3.49E-07,-1.739,0.1944,0.5435,0.01772,0.95,0.4618,0.2985,0.5946,0.3809,0.01479,0.6385,0.4244,0.3846,0.8413,-0.08661,0.3765,0.5789,0.8758,0.2207,0.1051,0.9569,0.00001612,2.291,0.0003851,2.428,0.04772,0.2305,0.0004766,0.2249,0.9998,-0.003729,0.9623,0.0408,0.02236,0.8196,3.20E-07,0.7769
345,S100a9,S100 calcium binding protein A9 (calgranulin B),43,"Neutrophil, Monocyte",,0.3075,-0.9834,0.9992,-0.05678,0.5188,-0.6806,0.4896,1.788,0.8317,0.8485,0.7552,2.637,0.471,1.698,0.2237,-1.657,0.9958,0.009174,0.9981,0.008025,0.8519,0.323,0.3503,-1.047,0.926,-0.2756,0.7301,-2.412,0.9993,0.1188,0.3853,-7.255,0.9541,-0.519,0.4283,-6.043,0.3749,1.037,0.7541,1.536,0.3751,3.875,0.03138,-1.603,0.9338,-0.1046,0.01105,-3.628,8.78E-11,-4.736,0.6873,0.09661,0.07969,0.6726,0.6045,0.3088,0.6008,0.3649,1,0,0.2916,1.462,0.2901,0.7393,0.8628,0.1094,0.2678,1.317,0.4752,-0.4639,0.4816,0.5517,0.4052,0.5639,0.04659,0.5523,0.0004101,0.544,0.8115,0.5875,0.979,-0.0508,0.1071,1.17,0.2087,0.1381
346,Scd2,stearoyl-Coenzyme A desaturase 2,21,,,0.7623,0.2193,0.9992,0.1403,0.6215,0.3038,0.1432,1.038,0.3581,0.681,0.9991,-0.2539,0.5023,-0.6108,0.00002031,0.9792,0.901,0.1655,0.9223,-0.1699,0.2717,0.5308,0.00241,1.197,0.1808,0.73,0.4737,0.3971,0.9708,0.4926,0.5946,-0.811,0.9992,-0.2965,0.5232,-0.9102,0.001065,1.361,0.2174,-1.541,0.421,-1.498,0.00285,-1.707,0.6084,0.2535,0.9897,0.006115,0.9213,0.01604,0.7155,-0.3368,0.8535,-0.1049,0.04376,-0.8052,0.9812,-0.0581,0.9499,-0.0089,0.6911,-0.713,0.2662,-1.395,0.9258,-0.1949,0.8066,-0.6171,0.8361,0.2436,0.5528,0.266,0.4145,1.058,,,,,,,,,,,,
347,Msr1,macrophage scavenger receptor 1,44,"Neutrophil, Monocyte",,0.9467,-0.1273,0.9992,-0.2687,0.843,-0.2227,0.8551,0.6817,0.8533,0.6732,0.9991,-0.2816,0.945,-0.2901,0.951,-0.01431,0.9496,0.1218,0.8045,0.5574,0.0001826,2.463,5.52E-14,2.776,0.1693,1.888,0.00135,8.177,0.783,1.243,0.9939,0.04582,0.8379,0.9871,0.6807,-1.102,2.66E-43,6.876,0.04712,5.418,0.8346,-0.6626,0.000267,4.924,0.0008391,-1.478,0.8843,-0.2948,1.29E-08,2.728,0.3562,0.4663,0.1831,0.5493,0.9784,0.02215,0.6573,0.2678,0.2089,0.7163,0.3501,0.2799,0.8676,-0.04508,0.6565,0.1706,0.8686,0.09238,0.765,-0.1026,0.2518,-0.1852,0.1465,0.2783,0.008293,0.5387,0.3983,-0.08859,0.7616,1.025,0.1187,2.158,0.1286,0.9589,0.4894,-0.03488
348,Ccl2,chemokine (C-C motif) ligand 2,14,,,0.836,-0.3793,0.9992,-0.1941,0.7926,0.3277,0.1453,-0.945,0.8774,-0.1841,0.8969,0.577,0.01319,1.338,0.1028,-0.4527,0.7835,0.4189,0.05935,3.442,0.1021,0.8866,0.05625,1.057,0.1684,1.943,0.02792,3.408,0.8832,0.6929,0.3896,1.709,0.768,1.319,0.4283,2.44,0.0007116,2.453,0.2285,2.948,0.03684,2.586,0.9963,-0.005047,0.1017,-0.9435,0.3022,1.537,0.0001812,0.9163,0.5409,0.5093,0.2793,0.7932,0.626,0.327,0.8466,0.2756,1,0,0.818,0.05455,0.9261,0.03025,0.9543,0.03296,0.8042,0.1425,0.154,0.2444,0.3118,0.1289,0.05655,0.5033,1,0,0.4488,0.06995,0.8716,0.7054,0.9762,0.03582,0.129,0.2441,0.9626,0.003949
349,Ccl3,chemokine (C-C motif) ligand 3,34,,,0.9917,0.02759,0.00004661,1.665,1.93E-11,2.614,0.8696,0.1622,0.6388,0.2876,0.9991,0.06532,0.7364,0.1907,0.8487,0.06034,0.08475,1.266,0.01024,3.07,0.4451,0.5128,0.000002648,1.41,0.303,1.134,0.4074,1.152,1,0.009987,0.7289,0.4462,0.9782,0.4421,0.6273,0.6912,0.000002734,3.985,0.01491,4.086,0.1316,1.48,0.01447,-0.7878,0.1714,0.5548,0.05426,1.499,0.9546,0.01741,0.6082,0.2434,0.5092,0.6588,0.5061,0.4218,0.7649,0.3609,5.34E-07,4.552,0.5339,0.1598,0.7351,0.1117,0.6069,0.2078,0.8272,0.1723,0.001055,1.538,0.000001412,2.393,0.009943,2.789,0.4449,-0.1974,,,,,,,,,,
350,Ccl4,chemokine (C-C motif) ligand 4,34,,,0.6222,-0.6716,0.00007495,1.681,0.4563,0.6728,0.8593,0.2838,0.4272,0.5096,0.9991,-0.1388,0.9367,0.08691,0.2014,-0.2654,0.1946,1.123,0.08143,2.624,0.07266,0.8459,2.56E-09,1.732,0.3967,1.159,0.3097,1.449,0.9993,0.1171,0.5424,0.8161,0.9992,0.2782,0.8409,0.3232,0.002387,3.119,0.006107,4.791,0.8158,0.4452,0.003209,-1.428,0.01823,0.8446,0.1411,1.125,0.00006908,-1.35,0.6014,0.3443,0.4416,0.8528,0.4815,0.5009,0.6479,0.499,0.00003116,3.725,0.3191,0.2795,0.975,-0.01214,0.9791,0.01416,0.8111,0.1572,0.107,0.4432,0.03615,0.3247,0.0649,0.8311,0.02206,0.5486,0.1221,-0.2234,,,,,0.6273,0.1357,0.3864,0.0623
351,Ccl5,chemokine (C-C motif) ligand 5,10,LPS-Related,,0.8172,0.3636,0.9992,-0.4112,0.6559,-0.5067,0.1155,1.608,0.4026,0.8526,0.9967,0.6088,0.922,-0.1466,0.2992,0.4819,1,0,0.1021,3.132,1,0,0.07196,1.477,0.05068,1.309,0.02326,1.944,0.9993,0.2604,0.3853,3.043,0.8983,1.284,0.4283,3.563,8.28E-33,6.117,0.02605,5.287,0.5682,1.127,0.0005403,3.965,0.3262,0.7435,0.336,-0.78,4.62E-07,-2.334,0.0233,1.208,0.004698,0.9532,0.0502,0.7794,0.08438,0.8988,0.2739,0.7056,0.854,-0.05235,0.8028,0.07938,0.8608,0.06748,0.9781,0.03258,0.874,0.06198,0.01227,0.4951,0.001243,1.177,0.2404,0.2677,0.0003138,0.3622,0.945,-0.2202,0.3397,0.6547,0.06705,0.414,0.008475,0.1505
