Gene name,Average UMI per cell (homeostatic microglia),Fold-change (DAM to homeostatic microglia),-log10(DAM) p-value (Mann-Whitney),DAM FDR p-value
Maf1,0.200882,-0.763601,1.69444,1.203889
Mafb,1.752647,-0.194672,1.118625,0.80293
Mafg,0.196765,-0.531532,0.735916,0.5567
Maged1,0.083235,0.302014,2.761889,2.065667
Magi1,0.041471,-1.663733,0.223253,0.301566
Magi3,0.083529,-1.209261,0.021785,0.217228
Magt1,0.351176,-0.782295,0.63729,0.505192
Mak16,0.070588,-2.168038,1.152604,0.828047
Malat1,6.372059,-1.28081,17.935825,16.325573
Mamdc2,0.001765,6.302282,7.258932,6.147413
Maml1,0.052647,-0.502107,0.707077,0.544141
Maml2,0.171765,-0.341054,0.460408,0.411355
Maml3,0.127353,-1.131845,0.883617,0.643111
Man1a,0.365,-1.164555,5.216734,4.247713
Man1a2,0.58,-0.556976,0.805075,0.595414
Man1b1,0.112647,-0.31461,0.11557,0.255322
Man1c1,0.333235,0.388203,1.622664,1.147642
Man2b1,1.751176,0.627151,6.069685,5.054795
Man2c1,0.047353,-0.123915,0.548047,0.459253
Manbal,0.082059,-1.247765,0.721649,0.547495
Manea,0.108824,-1.509595,0.911718,0.663964
Manf,0.328529,0.208386,0.289739,0.33122
Map1lc3a,0.077647,-0.281695,0.037316,0.222022
Map1lc3b,0.196765,-0.291805,0.298841,0.335452
Map2k1,0.340294,0.073641,0.207556,0.292178
Map2k2,0.225,-0.30441,0.656936,0.515303
Map2k3,0.100882,-1.567735,0.442339,0.401007
Map2k4,0.100588,-0.094037,0.3637,0.359917
Map3k1,0.121471,-0.500484,0.051013,0.228193
Map3k11,0.070882,-1.273572,0.946452,0.679427
Map3k12,0.035588,-2.279546,0.29186,0.331856
Map3k14,0.074706,-1.298742,0.67266,0.523429
Map3k2,0.162647,-1.031246,1.069911,0.767067
Map3k3,0.094706,-1.432866,0.836219,0.614228
Map3k5,0.109118,-0.637224,1.173141,0.843736
Map3k7,0.104412,-0.651028,0.096038,0.246455
Map4k1,0,NaN,1.226838,0.877727
Map4k3,0.043824,0.285219,0.01489,0.213785
Map4k4,0.199118,-0.611048,0.551949,0.461685
Map4k5,0.073529,-0.447322,0.194198,0.284155
Mapk1,0.204412,-1.008994,0.40176,0.379608
Mapk14,0.315294,-1.099701,3.509821,2.719918
Mapk1ip1,0.077353,-2.621994,0.906031,0.660387
Mapk3,0.234118,0.12015,0.151321,0.272559
Mapk7,0.045,-1.965994,0.464733,0.414095
Mapk8ip3,0.076765,-0.313301,0.143503,0.268915
Mapk9,0.058824,-0.226932,0.669188,0.52225
Mapkap1,0.070882,-0.871474,0.275127,0.325024
Mapkapk5,0.051176,-0.481698,0.040443,0.223226
Mapre1,0.354118,-0.432991,0.461878,0.412094
Mapre2,0.100588,0.168997,0.066994,0.235336
Marcks,6.795294,-1.293206,37.625301,35.421763
Marcksl1,0.064412,-0.585273,0.193283,0.283682
Mark2,0.066765,-1.471024,1.205042,0.864827
Mark3,0.146765,-1.142249,1.187634,0.852153
Mars,0.139706,-0.625193,0.84068,0.617782
Marveld2,0.040294,NaN,1.627867,1.151219
Mast2,0.055294,-0.532802,0.137463,0.265069
Mast3,0.18,-0.76009,0.94004,0.677815
Mat2a,0.364412,-0.536108,0.877769,0.639339
Mat2b,0.153824,-0.384924,0.381942,0.368848
Matr3,0.216765,-0.665653,0.518117,0.444139
Mau2,0.054118,-2.232168,1.082406,0.773849
Mbd1,0.081471,-0.872389,0.148436,0.271725
Mbd2,0.144706,0.3199,0.808239,0.597166
Mbd4,0.002941,-0.489966,0.165535,0.275527
Mbd5,0.063529,-1.753,0.763407,0.571355
Mblac2,0.014706,2.482727,2.292755,1.669001
Mbnl1,0.976765,-0.864032,4.002065,3.151866
Mbnl2,0.310882,-0.559162,0.187399,0.28149
Mboat7,0.215882,-0.00468,0.23987,0.311228
Mbp,0.072353,0.45169,1.048568,0.754158
Mbtd1,0.107647,-0.326186,0.358509,0.357677
Mbtps1,0.137059,-1.493065,1.012596,0.72939
Mbtps2,0.065882,-0.689991,0.197081,0.285799
Mcart1,0.091765,-0.409046,0.090487,0.244045
Mcc,0.009412,-1.583075,0.165535,0.275611
Mcee,0.014706,0.711668,0.684397,0.529767
Mcfd2,0.437941,-0.076989,0.142684,0.268666
Mcl1,0.599412,-0.757964,2.125337,1.53118
Mcm3,0.080588,-1.56563,1.950206,1.396392
Mcm6,0.086471,-1.941445,0.010475,0.212454
Mcm9,0.022353,-0.130563,0.248523,0.315803
Mcmbp,0.140294,-0.277981,0.232315,0.306524
Mctp1,0.034412,1.151422,0.442656,0.401084
Mcts1,0.100588,-0.885451,0.162306,0.275996
Mdc1,0.034412,-1.578971,0.263401,0.320125
Mdh1,0.378824,-0.62859,0.945381,0.679361
Mdh2,0.130294,0.090648,0.52065,0.445899
Mdm4,0.05,-2.770074,1.910301,1.366108
Mdp1,0.072353,-0.634819,0.090769,0.243945
Mea1,0.037647,0.981709,1.240155,0.885668
Meaf6,0.032059,0.129867,0.156427,0.274694
Mecp2,0.088235,-0.602441,0.281997,0.328195
Med1,0.203529,-1.002753,1.056628,0.758994
Med10,0.039412,-0.561702,0.176624,0.276368
Med11,0.080882,0.023295,0.14335,0.268925
Med12l,0.139706,-3.53626,3.710731,2.895294
Med13,0.120882,-0.458715,0.868761,0.635942
Med13l,0.287647,-1.01958,2.863672,2.151496
Med14,0.032353,1.116692,0.895923,0.652761
Med15,0.085882,-0.803274,0.853349,0.626253
Med16,0.057353,-0.821172,0.504317,0.435338
Med17,0.082059,-0.152608,0.320028,0.346632
Med19,0.084412,-1.047543,1.844107,1.315246
Med21,0.067647,-1.7656,1.499411,1.063474
Med22,0.165294,-0.680412,0.255178,0.316552
Med26,0.057647,-1.924767,0.364925,0.360704
Med28,0.134118,0.850821,3.370856,2.599324
Med30,0.062647,1.114061,1.734451,1.234032
Med31,0.017353,-0.658364,0.372314,0.364233
Med4,0.058529,-1.482734,0.531296,0.45161
Med6,0.063235,-1.828768,1.140454,0.819327
Med7,0.124706,-0.31853,0.050432,0.2279
Med8,0.087941,-0.294007,0.399635,0.378055
Med9,0.037059,0.264073,0.168177,0.274865
Mef2a,0.951176,-0.930809,6.809324,5.736763
Mef2c,1.337647,-0.449461,1.654746,1.173513
Mef2d,0.115882,0.472005,0.505164,0.435676
Megf8,0.017059,1.481776,0.58062,0.473852
Meis1,0.018235,0.900134,0.031569,0.220658
Memo1,0.041176,-0.43934,0.074896,0.236621
Men1,0.032059,-0.543905,0.163469,0.276321
Mepce,0.135588,-1.005434,1.515772,1.074763
Mertk,1.12,-0.261147,1.309866,0.93473
Mesdc1,0.028824,0.050142,0.232218,0.306519
Mesdc2,0.136176,0.043183,0.5354,0.453882
Metap1,0.058824,-0.288332,0.608231,0.488626
Metap2,0.158529,-0.023011,0.065785,0.234938
Mettl10,0.057353,-2.527441,1.491169,1.057304
Mettl13,0.024706,0.247,0.169991,0.274975
Mettl14,0.023235,0.677928,0.281554,0.327948
Mettl15,0.002647,3.684405,0.160875,0.275484
Mettl16,0.028824,-0.02786,0.145405,0.270002
Mettl2,0.013235,0.697661,0.942179,0.67856
Mettl21a,0.085882,-1.313468,1.075379,0.770347
Mettl9,0.112059,-0.419757,0.090629,0.243882
Mex3a,0.022353,-3.094037,0.640744,0.506874
Mex3b,0.070588,-4.489966,3.050442,2.316431
Mex3d,0.042647,-4.026019,0.814901,0.602234
Mfap1a,0.047647,0.015674,0.12945,0.26157
Mfap1b,0.160294,-1.181335,0.789857,0.587707
Mfap3,0.360588,-1.485267,2.159641,1.558597
Mff,0.141471,-0.117929,0.116284,0.255642
Mfge8,0.032353,1.138065,2.213288,1.603921
Mfhas1,0.120294,-0.259032,0.003655,0.21005
Mfn2,0.051471,0.457567,0.188815,0.28124
Mfng,0.268824,-0.839181,1.472173,1.044754
Mfsd1,0.197059,0.515407,3.618271,2.815444
Mfsd11,0.117647,-0.189842,0.033691,0.220735
Mfsd5,0.166471,-0.127821,0.29881,0.335522
Mfsd7b,0.030588,-0.510926,0.338292,0.354233
Mga,0.091765,-0.205513,0.056401,0.230824
Mgat1,0.475294,-1.798343,6.049257,5.03661
Mgat2,0.218824,-0.758829,0.887344,0.645892
Mgat4a,0.468529,-0.925985,4.106699,3.242414
Mgat4b,0.086176,-0.762882,0.701779,0.540108
Mgat5,0.022941,0.32792,0.278224,0.32647
Mgea5,0.114412,0.541219,0.235266,0.308374
Mgl2,0.010882,-0.055563,0.336811,0.35359
Mgll,0.150882,-1.263962,1.61797,1.145214
Mgmt,0.009118,-1.122234,0.487611,0.428086
Mia1,0.082647,0.221098,0.268016,0.32158
Mib1,0.115882,-0.551685,0.554676,0.462535
Mib2,0.025,0.689358,0.831752,0.61157
Mical2,0.001471,2.831962,0.57347,0.471679
Mical3,0.001765,2.639317,0.254677,0.316429
Mid1ip1,0.272059,-0.708464,0.440928,0.400312
Mier1,0.113824,0.062321,0.189671,0.281568
Mier2,0.008235,2.819023,1.144402,0.822135
Mier3,0.052353,-1.395844,1.078042,0.771251
Mif,0.065294,2.494927,18.425676,16.787986
Mif4gd,0.041765,-0.317785,0.288986,0.331158
Mina,0.01,0.066427,0.104077,0.249155
Minpp1,0.053824,-1.039882,0.459357,0.41079
Mir671,0.030294,0.745374,1.483736,1.051933
Mir678,0.036765,-0.963897,0.661843,0.518398
Mir682,0.292941,1.607516,21.353137,19.602918
Mis12,0.051176,0.116939,0.112274,0.253207
Mitf,0.071176,0.20772,0.20243,0.288838
Mki67,0.031765,-0.337963,0.389799,0.37333
Mki67ip,0.046765,-0.526725,0.195342,0.284591
Mkks,0.058824,-0.125394,0.386023,0.371132
Mkl1,0.051176,-0.856094,0.617302,0.493234
Mkln1,0.138824,-1.108166,1.221764,0.875558
Mknk1,0.247941,-0.352151,0.603918,0.487452
Mknk2,0.207353,-1.585123,2.310246,1.68374
Mkrn1,0.276765,-1.424037,3.279089,2.517717
Mkrn2,0.025882,0.394898,1.559315,1.104275
Mlec,0.518824,-1.155011,2.508645,1.85165
Mlf2,0.156765,0.109361,0.640659,0.506937
Mll1,0.192941,-0.249465,0.058078,0.231992
Mll2,0.072353,0.670807,0.322828,0.347999
Mll3,0.282647,-0.625219,0.857178,0.628428
Mll5,0.448529,-1.031825,1.332925,0.950769
Mllt10,0.089412,-0.70172,0.858876,0.62902
Mllt3,0.014118,-0.109144,0.287292,0.330547
Mllt6,0.058529,-0.482734,0.555451,0.462772
Mlph,0.151176,0.006247,0.421805,0.389701
Mlx,0.038529,0.120467,0.051067,0.228175
Mlxipl,0.247059,-1.024302,1.768289,1.258829
Mlycd,0.043529,-0.311402,0.282569,0.328278
Mmachc,0.008824,-0.753,0.248515,0.315889
Mmadhc,0.071176,0.03204,0.303004,0.338114
Mmgt1,0.045294,1.065021,1.279573,0.912865
Mmgt2,0.074118,-0.787766,0.102993,0.249004
Mms19,0.114118,-0.510563,1.522712,1.079294
mmu-mir-2134-2,0.001471,2.902351,1.812017,1.28827
mmu-mir-2134-4,0.004706,1.475818,0.980771,0.705834
mmu-mir-689-2,0.046471,1.179233,1.806427,1.285214
mmu-mir-703,1.932647,1.322336,36.828263,34.658149
Mnat1,0.086471,-1.158257,0.683772,0.529296
Mnt,0.071765,0.040776,0.003172,0.209905
Moap1,0.052353,-2.395844,0.763586,0.571365
Mob1a,0.504706,-0.350629,0.675919,0.525613
Mob1b,0.022647,-0.00856,0.239253,0.310888
Mob3a,0.112353,-0.058966,0.030726,0.220517
Mob4,0.099706,-0.943823,1.088851,0.778964
Mobp,0.008824,0.247,0.336811,0.353799
Mocs2,0.082647,-0.204432,0.118758,0.256614
Mogs,0.160882,-0.862555,0.648118,0.510085
Mon2,0.157647,0.31662,0.141169,0.267882
Morc2a,0.045588,-0.215344,0.531346,0.451529
Morc3,0.231765,-1.041897,3.353319,2.58435
Morf4l1,0.280588,-0.171066,0.088368,0.243069
Mosc2,0.256765,-0.882593,0.998204,0.718324
Mospd2,0.035588,0.681283,1.459482,1.034385
Mov10,0.029118,-0.549467,0.351736,0.354592
Mpdu1,0.054706,0.112982,0.200956,0.288343
Mpeg1,2.019118,1.30654,30.323977,28.253978
Mphosph10,0.044118,0.93406,0.01471,0.213743
Mphosph6,0.031471,-1.385943,0.015729,0.214142
Mphosph8,0.072353,-0.466696,0.061203,0.233512
Mphosph9,0.035588,0.305416,0.037749,0.22217
Mpp1,0.069118,0.38171,0.233588,0.307063
Mpp5,0.068824,-0.324157,0.991553,0.713534
Mpp6,0.056176,0.287956,0.071867,0.235685
Mpp7,0.014706,-0.004539,0.059873,0.232911
Mpv17,0.103235,-0.473618,0.422016,0.389677
Mras,0.080882,0.415175,0.685348,0.530407
Mrc1,0.107353,-2.394388,2.83039,2.124887
Mrc2,0.068824,-0.061123,0.916891,0.667209
Mre11a,0.032647,-1.714526,1.052764,0.757067
Mrfap1,0.413235,-0.083296,0.118229,0.256323
Mrp63,0.075882,-0.839415,0.339605,0.354182
Mrpl12,0.064706,-0.262897,0.073997,0.236246
Mrpl13,0.057647,-0.068502,1.608615,1.138755
Mrpl14,0.032353,0.37253,0.708695,0.544491
Mrpl15,0.061176,-0.659024,0.260122,0.31856
Mrpl16,0.038824,-0.258236,0.165782,0.274844
Mrpl17,0.068824,0.874487,0.793551,0.588621
Mrpl18,0.064706,0.408154,0.44981,0.405117
Mrpl19,0.054706,-0.874307,0.276847,0.325968
Mrpl20,0.105588,-0.093636,0.033549,0.220805
Mrpl21,0.014412,0.426706,0.34316,0.35181
Mrpl22,0.028529,0.674993,0.006164,0.211137
Mrpl27,0.034412,1.781776,1.941914,1.390041
Mrpl28,0.023235,1.657464,0.70891,0.544548
Mrpl30,0.089412,0.115416,0.110982,0.252543
Mrpl32,0.088529,-0.070741,0.144187,0.269273
Mrpl33,0.113824,-0.002676,0.27688,0.325903
Mrpl35,0.057647,-0.805468,0.189353,0.281426
Mrpl36,0.053529,0.52384,0.189882,0.281691
Mrpl37,0.026176,-3.643771,1.506739,1.069018
Mrpl38,0.026176,0.546053,0.30399,0.338297
Mrpl40,0.065882,0.563766,0.030192,0.220475
Mrpl41,0.029118,1.035496,1.164821,0.837501
Mrpl43,0.161765,-0.413345,0.182265,0.279235
Mrpl44,0.039412,-2.426772,0.452086,0.406911
Mrpl45,0.020882,1.326071,0.636588,0.504784
Mrpl49,0.066176,-1.337963,0.690104,0.532983
Mrpl50,0.053235,0.152295,0.306808,0.340009
Mrpl51,0.048529,-0.468271,0.20795,0.292304
Mrpl52,0.166471,0.432138,0.919292,0.66903
Mrpl53,0.057059,0.13894,0.069318,0.235441
Mrpl55,0.037941,-1.424378,0.673786,0.524247
Mrpl9,0.051471,0.287642,0.359636,0.357604
Mrps11,0.047059,-1.583075,0.342957,0.351926
Mrps14,0.136176,-0.774979,0.110696,0.252492
Mrps15,0.086765,-0.153441,0.037055,0.222116
Mrps18a,0.062647,-0.134563,0.288672,0.331041
Mrps22,0.033235,-0.403254,0.438728,0.399424
Mrps24,0.080882,-0.543405,0.176642,0.2763
Mrps25,0.032353,-0.116508,0.173459,0.275874
Mrps26,0.061471,-1.290435,0.603682,0.487642
Mrps27,0.021471,-1.450972,0.164236,0.275912
Mrps30,0.084118,-1.350629,0.837339,0.615166
Mrps5,0.042353,-0.505073,0.163106,0.276125
Mrps6,0.036176,0.059373,0.144191,0.269196
Mrps7,0.055294,-0.839984,0.026334,0.219274
Mrps9,0.027059,0.166381,0.178034,0.277087
Mrrf,0.011765,0.831962,0.105672,0.249971
Ms4a6b,0.294706,-2.02818,4.882381,3.939868
Ms4a6c,0.100294,-0.923454,0.327166,0.349866
Ms4a6d,0.192941,-0.111962,1.593051,1.127023
Msh3,0.031471,-1.822042,0.495279,0.430864
Msh5,0.031176,-0.941762,0.101846,0.248556
Msh6,0.036471,0.723256,0.374091,0.365234
Msl1,0.21,-0.873031,1.581795,1.120825
Msl2,0.157941,-1.259536,1.143716,0.821677
Msl3,0.057647,0.099895,0.014264,0.213572
Msn,0.529118,-0.183356,0.567853,0.470029
Msra,0.020882,0.589106,1.292828,0.92231
Msrb2,0.120588,-0.066158,0.034982,0.221319
Mt1,0.137941,1.596954,10.730664,9.447249
Mta1,0.05,0.177459,0.018676,0.215434
Mtap,0.054706,0.087219,0.489367,0.429093
Mtap1a,0.004706,-0.84611,0.033458,0.220997
Mtap1s,0.093824,-2.093133,1.624903,1.149231
Mtap4,0.156176,-0.836902,0.758565,0.568707
Mtap7d1,0.13,-0.22802,0.589748,0.479351
Mtch2,0.136765,-0.247765,0.461347,0.41205
Mtdh,1.106176,-0.436684,2.115454,1.525969
Mtf1,0.092353,-2.292734,1.369882,0.97198
Mtf2,0.084706,0.096665,0.185655,0.281057
Mthfd1,0.035,-0.204875,0.294374,0.332382
Mthfs,0.155294,1.303268,6.67197,5.613318
Mtif2,0.078235,-1.269124,0.34819,0.352986
Mtif3,0.027647,-0.330309,0.075871,0.236996
Mtm1,0.044118,-4.811894,0.552663,0.462132
Mtmr1,0.046176,-0.070341,0.073489,0.236261
Mtmr10,0.062353,0.058238,0.163196,0.276132
Mtmr12,0.037353,-0.134355,0.863377,0.632227
Mtmr14,0.056176,-0.423539,0.250565,0.315979
Mtmr2,0.032059,0.970668,2.042102,1.467974
Mtmr3,0.126471,-1.272375,1.42775,1.012097
Mtmr4,0.057059,-0.539132,0.416791,0.386555
Mtmr6,0.130294,0.458652,0.812225,0.600268
Mto1,0.027059,-0.647206,0.254063,0.316474
Mtor,0.055588,-1.057855,0.496896,0.431218
Mtpap,0.052647,-0.564391,0.042711,0.223992
Mtpn,0.280588,-0.304332,0.266859,0.320999
Mtss1,0.138824,-3.591249,4.645577,3.721706
Mttp,0.007647,-1.061123,0.632009,0.501676
Mtus1,0.452647,-0.792919,3.914743,3.07142
Mtx3,0.038824,-3.212432,1.498347,1.062706
Mudeng,0.018824,NaN,1.334564,0.951884
Mut,0.047941,-0.472372,0.087704,0.242862
Mx2,0.019118,-0.383051,0.285016,0.329549
Mxd4,0.214118,-0.811646,0.790618,0.587774
Mxi1,0.101471,0.40151,1.264325,0.903397
Mxra8,0.164118,-0.882768,0.413643,0.385269
Myadm,0.302941,-0.228099,0.224596,0.302091
Mybbp1a,0.096471,0.593351,0.691932,0.533874
Myc,0.08,-0.796069,0.818653,0.604208
Mycbp2,0.402647,-0.71658,1.997436,1.432587
Mycl1,0.065,NaN,3.755997,2.931945
Myd88,0.135588,-1.074146,1.081756,0.773419
Myeov2,0.092647,1.510034,8.52737,7.37305
Myg1,0.052647,-0.697657,0.155853,0.27503
Myh9,0.384118,-0.013166,0.001684,0.209227
Myl12b,0.377941,-0.157969,0.191382,0.282398
Myl2,0.022353,-0.60861,0.26566,0.320759
Mylip,0.628235,-0.815106,2.199667,1.593824
Myo18a,0.081765,-0.321195,0.445031,0.402142
Myo18b,0.018529,-2.337963,1.072626,0.76847
Myo1b,0.085294,-2.347947,3.174819,2.427039
Myo1c,0.092941,-0.416536,0.480669,0.424498
Myo1e,0.05,2.317389,14.878018,13.406874
Myo1f,0.251765,0.594321,2.30387,1.678283
Myo6,0.027647,-0.230774,0.172684,0.275614
Myo9a,0.139412,-0.161963,0.031589,0.220607
Myo9b,0.080294,1.270586,0.51347,0.441422
Mysm1,0.05,0.707973,0.001258,0.209205
Myst2,0.088824,-0.499552,0.004793,0.210512
Myst3,0.276765,-1.277904,3.177842,2.428844
Mzt2,0.124412,-1.307589,1.377797,0.977716
N4bp1,0.139118,-1.158917,1.766083,1.257326
N4bp2l1,0.087941,-1.6916,1.321916,0.942634
N4bp2l2,0.172353,-0.437982,0.767675,0.573417
Naa15,0.105294,-0.029802,0.668828,0.522042
Naa16,0.037059,-0.363958,0.020454,0.216452
Naa25,0.062353,-1.114599,0.414133,0.385411
Naa30,0.048529,0.233824,0.213152,0.295351
Naa35,0.138529,0.166698,1.173346,0.84371
Naa38,0.075882,-0.201985,0.182092,0.27915
Naa40,0.064118,-0.029332,0.449342,0.40513
Naa50,0.097941,0.207471,0.897617,0.653883
Naaa,0.257647,-0.415348,0.148204,0.271657
Naalad2,0.067941,0.423157,1.565238,1.108023
Nacc1,0.060882,-1.080165,0.270443,0.32237
Nacc2,0.095882,-0.528081,0.667154,0.520673
Nadk,0.148824,-0.62747,0.944713,0.679695
Nae1,0.081765,-2.199516,1.607252,1.138034
Naf1,0.037647,-0.810486,0.103526,0.249071
Nagk,0.050294,0.10061,0.156149,0.274913
Naglu,0.202941,1.607303,13.044909,11.655619
Nagpa,0.193529,-0.146277,0.119259,0.25672
Naip2,0.147353,0.067866,0.548814,0.459486
Naip5,0.084706,0.121469,0.004995,0.210579
Naip6,0.023235,0.051743,0.133407,0.263034
Nampt,0.046176,1.265262,3.067562,2.33178
Nans,0.047647,-1.081623,0.12779,0.260791
Nap1l1,0.077353,1.400373,3.623243,2.819032
Napa,0.143529,0.846669,3.743225,2.921343
Napb,0.017647,-1.374489,0.637462,0.505069
Napepld,0,NaN,0.73654,0.555843
Napg,0.037941,0.39059,0.197027,0.285923
Narfl,0.043235,0.926911,1.145441,0.822945
Nars,0.480294,-0.904709,2.586349,1.91582
Nars2,0.023235,-3.886856,0.493968,0.430309
Nasp,0.06,0.921088,0.937007,0.676766
Nat15,0.099118,-0.27924,0.150104,0.271999
Nat6,0.037647,-0.84611,0.426784,0.39245
Nat8l,0.013235,2.054355,3.651951,2.844961
Nat9,0.027647,-1.552702,0.606283,0.487964
Nav1,0.068824,-0.016035,0.06625,0.235035
Nav3,0.360588,-1.278034,2.538153,1.877191
Nbas,0.041765,-1.459804,0.092297,0.244479
Nbn,0.037941,-2.179265,0.610859,0.489819
Nbr1,0.157941,0.039308,0.127697,0.260779
Ncbp1,0.068529,-1.054944,1.284597,0.916876
Ncbp2,0.060294,-0.308359,0.089268,0.243513
Nceh1,0.038235,3.240047,15.816212,14.293915
Ncf1,0.661765,-0.981819,4.685282,3.758665
Ncf2,0.451471,-0.355456,0.553619,0.462552
Nck1,0.104412,-0.60629,0.409606,0.384008
Nckap1l,1.069706,-0.793223,3.841575,3.00651
Nckap5l,0.110588,-0.263195,0.194835,0.284526
Ncl,0.568824,-0.349008,0.117622,0.256111
Ncln,0.17,-0.276874,0.075035,0.236535
Ncoa2,0.104118,-2.548181,2.61779,1.939038
Ncoa3,0.199118,-0.308955,0.003264,0.209862
Ncoa5,0.076176,-0.429959,0.008995,0.211793
Ncoa6,0.146471,-0.908871,0.694638,0.535639
Ncoa7,0.027647,0.877286,1.047755,0.753987
Ncor1,0.245882,-0.249688,0.493491,0.430587
Ncor2,0.136176,-0.460664,0.28531,0.329745
Ncstn,0.122941,0.233127,1.99361,1.429957
Nde1,0.050294,0.332973,0.2251,0.302413
Ndel1,0.085882,-0.392078,0.10853,0.251658
Ndfip1,0.076176,-1.599884,1.673468,1.188265
Ndfip2,0.154118,0.097747,0.322663,0.348038
Ndor1,0.042059,-0.495019,0.019857,0.215993
Ndrg3,0.069706,0.344098,0.878508,0.6397
Ndst2,0.061176,-0.061123,0.008895,0.211761
Ndufa10,0.13,0.673416,0.556009,0.463195
Ndufa11,0.098235,0.040715,0.542767,0.456368
Ndufa13,0.242647,0.321131,2.696308,2.004921
Ndufa2,0.185,0.950788,4.272841,3.389865
Ndufa3,0.174118,0.565023,2.064367,1.483664
Ndufa6,0.269118,0.378038,1.0045,0.72296
Ndufa8,0.097647,0.056836,0.777906,0.580063
Ndufab1,0.110588,-0.928211,0.359524,0.357601
Ndufaf1,0.029118,-2.797395,1.071354,0.767637
Ndufaf2,0.028529,NaN,1.334564,0.952146
Ndufaf4,0.063824,0.1365,0.146069,0.270339
Ndufb10,0.144706,0.197787,0.422933,0.390009
Ndufb11,0.116765,0.547695,2.050175,1.473183
Ndufb3,0.145588,-0.113698,0.277904,0.326344
Ndufb5,0.149412,0.577987,2.85318,2.143239
Ndufb6,0.066471,0.034151,0.951128,0.682291
Ndufb7,0.089706,0.215921,0.683571,0.529406
Ndufb8,0.201176,-0.00469,0.566854,0.469575
Ndufb9,0.168235,0.593932,2.133802,1.537505
Ndufc2,0.254118,-0.4191,0.197078,0.285885
Ndufs2,0.136765,0.1408,0.078554,0.23795
Ndufs4,0.164706,-0.112446,1.31878,0.940279
Ndufs6,0.095,1.024049,2.331248,1.701973
Ndufs7,0.153235,-0.148783,0.133572,0.263118
Ndufs8,0.174706,-0.753,0.390441,0.37352
Ndufv1,0.086471,-0.723854,0.01062,0.212531
Ndufv2,0.148235,-0.005766,0.522806,0.446761
Ndufv3,0.067647,1.754656,4.02322,3.168376
Neat1,0.069118,0.423051,1.854732,1.323292
Necap1,0.092941,-0.449451,0.771439,0.57582
Necap2,0.144118,-0.179863,0.007214,0.211304
Nedd8,0.129118,0.183168,0.664532,0.519268
Neil1,0.012941,0.127418,0.106206,0.250037
Nek4,0.016765,-1.094037,0.164341,0.275933
Nek6,0.184706,0.255018,0.849842,0.624027
Nek7,0.117059,-0.320847,0.062279,0.233855
Nek9,0.129706,-1.630745,1.206419,0.865727
Nelf,0.025588,-0.910542,0.050036,0.227722
Nemf,0.077647,0.535761,0.322973,0.347937
Nenf,0.093529,0.431968,1.597439,1.130775
Nes,0.013529,-2.106637,0.568705,0.470064
Neu1,0.156765,-0.618699,0.123501,0.258818
Neurl1a,0.186176,-2.429705,2.838081,2.130919
Neurl3,0.042647,0.617837,0.735624,0.556736
Nf1,0.134706,0.162683,0.510933,0.439655
Nf2,0.054706,-0.137341,0.033393,0.221002
Nfam1,0.29,-1.159285,2.620885,1.941614
Nfat5,0.110294,-0.48038,0.162791,0.276146
Nfatc1,0.161176,0.147558,0.364936,0.360605
Nfatc2,0.102941,-1.333847,1.351244,0.960886
Nfatc3,0.085,0.091665,0.025869,0.218879
Nfe2l1,0.101471,-0.59849,0.198911,0.286919
Nfe2l2,0.562059,0.370642,2.059819,1.479944
Nfia,0.268824,-1.026808,1.755437,1.249128
Nfic,0.231471,0.547133,1.102666,0.790107
Nfix,0.178529,-1.091663,0.908822,0.662603
Nfkb1,0.260882,-0.5472,0.105261,0.249794
Nfkbia,0.425294,-1.694346,6.282739,5.249462
Nfkbil1,0.007647,-0.54655,0.338832,0.35404
Nfs1,0.015882,2.077075,0.294007,0.332314
Nfu1,0.072941,-0.066952,0.799575,0.592549
Nfx1,0.065294,-1.055563,0.024395,0.218449
Nfxl1,0.026471,0.529934,0.580301,0.473812
Nfya,0.182353,0.023443,0.571202,0.470783
Nfyc,0.035,1.097016,0.709332,0.544811
Ngdn,0.072941,-0.818453,0.705816,0.543038
Ngp,0.050882,-1.64847,1.077172,0.771041
Ngrn,0.054412,-0.432633,0.178204,0.277083
Nhlrc2,0.051471,-1.095687,0.525845,0.449023
Nhp2,0.030882,1.236658,1.268783,0.906605
Nid2,0.062941,-1.865111,0.751452,0.563944
Nif3l1,0.05,-1.117997,0.53738,0.454416
Nin,0.043824,-0.802244,0.055617,0.230477
Ninj1,0.125588,-0.648742,0.518185,0.444079
Ninl,0.030588,-0.510926,0.282295,0.328298
Nip7,0.057059,-1.04003,0.02143,0.217081
Nipa2,0.188529,-1.458795,1.779692,1.263862
Nipbl,0.276471,-0.825386,0.064811,0.235141
Nipsnap3b,0.075588,0.477389,0.392782,0.374503
Nisch,0.235,-0.9772,0.709887,0.545207
Nkap,0.066471,-0.449058,0.205333,0.29067
Nkrf,0.026765,-2.868478,0.792422,0.588362
Nktr,0.095882,0.083147,0.739226,0.555551
Nlk,0.090294,-0.321608,0.151781,0.27269
Nlrc5,0.005,3.04828,1.696173,1.204947
Nlrp1a,0.024706,-0.036793,0.29294,0.331546
Nlrp1b,0.020294,-1.817131,0.293388,0.331894
Nlrp3,0.078235,-1.365339,0.731897,0.554319
